tecnica;mean_absolute_error;mean_squared_error;mean_squared_log_error;median_absolute_error;identificador_aleatorio;tipo_split;normalizador;redutor_dimensionalidade;pipeline;parametros;random_state_split;random_state_random_search;cross_validation_random_search;best_estimator;best_params
ExtraTreesRegressor;47.71106709389261;4884.188647926983;0.0722352881854372;35.220000000000084;8967698;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=None, max_features='auto', max_leaf_nodes=None,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=2, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=None, oob_score=False,
                    random_state=None, verbose=0, warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};25;37;5;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='random',
                     l1_ratio=0.0, max_iter=200, n_components=7,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mae', max_depth=None,
                                     max_features='sqrt', max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=15, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 7, 'nmf__init': 'random', 'ExtraTreesRegressor__warm_start': False, 'ExtraTreesRegressor__n_estimators': 15, 'ExtraTreesRegressor__max_features': 'sqrt', 'ExtraTreesRegressor__criterion': 'mae', 'ExtraTreesRegressor__bootstrap': False}
BaggingRegressor;49.94781823478007;5415.993920743115;0.3704068250551903;37.893333333333366;990427;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};25;36;4;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='random',
                     l1_ratio=0.0, max_iter=200, n_components=7,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=True,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=15, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=True))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': 7, 'nmf__init': 'random', 'BaggingRegressor__warm_start': True, 'BaggingRegressor__n_estimators': 15, 'BaggingRegressor__bootstrap': True}
AdaBoostRegressor;70.91819228679651;7827.234405962205;3.3315359422462847;49.93934883720908;1303814;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};25;42;10;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvdar',
                     l1_ratio=0.0, max_iter=200, n_components=None,
                     random_state=None, shuffle=False, solver='mu', tol=0.0001,
                     verbose=0)),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='square', n_estimators=75,
                                   random_state=None))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'mu', 'nmf__n_components': None, 'nmf__init': 'nndsvdar', 'AdaBoostRegressor__n_estimators': 75, 'AdaBoostRegressor__loss': 'square'}
LinearRegression;51.1069732098411;5300.294709414324;0.5652351929927346;37.633955421156934;7951299;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('LinearRegression', LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'LinearRegression__fit_intercept': [True, False], 'LinearRegression__normalize': [True, False]};25;25;4;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='random',
                     l1_ratio=0.0, max_iter=200, n_components=7,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('LinearRegression',
                 LinearRegression(copy_X=True, fit_intercept=False, n_jobs=None,
                                  normalize=True))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 7, 'nmf__init': 'random', 'LinearRegression__normalize': True, 'LinearRegression__fit_intercept': False}
PassiveAggressiveRegressor;52.091176721390674;6295.739465628992;1.0968400872429247;35.29301621198522;5081855;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('PassiveAggressiveRegressor', PassiveAggressiveRegressor(C=1.0, average=False, early_stopping=False,
                           epsilon=0.1, fit_intercept=True,
                           loss='epsilon_insensitive', max_iter=1000,
                           n_iter_no_change=5, random_state=None, shuffle=True,
                           tol=0.001, validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'PassiveAggressiveRegressor__max_iter': [500, 1000, 1500], 'PassiveAggressiveRegressor__fit_intercept': [True, False], 'PassiveAggressiveRegressor__early_stopping': [True, False], 'PassiveAggressiveRegressor__shuffle': [True, False], 'PassiveAggressiveRegressor__warm_start': [True, False]};25;10;4;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvda',
                     l1_ratio=0.0, max_iter=200, n_components=3,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('PassiveAggressiveRegressor',
                 PassiveAggressiveRegressor(C=1.0, average=False,
                                            early_stopping=False, epsilon=0.1,
                                            fit_intercept=True,
                                            loss='epsilon_insensitive',
                                            max_iter=1500, n_iter_no_change=5,
                                            random_state=None, shuffle=True,
                                            tol=0.001, validation_fraction=0.1,
                                            verbose=0, warm_start=True))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 3, 'nmf__init': 'nndsvda', 'PassiveAggressiveRegressor__warm_start': True, 'PassiveAggressiveRegressor__shuffle': True, 'PassiveAggressiveRegressor__max_iter': 1500, 'PassiveAggressiveRegressor__fit_intercept': True, 'PassiveAggressiveRegressor__early_stopping': False}
TheilSenRegressor;51.59283945025064;6187.202790307255;0.6392052883977922;35.106692027696575;1487612;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('TheilSenRegressor', TheilSenRegressor(copy_X=True, fit_intercept=True, max_iter=300,
                  max_subpopulation=10000, n_jobs=None, n_subsamples=None,
                  random_state=None, tol=0.001, verbose=False))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'TheilSenRegressor__fit_intercept': [True, False], 'TheilSenRegressor__max_iter': [150, 300, 450]};25;1;4;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='random',
                     l1_ratio=0.0, max_iter=200, n_components=3,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('TheilSenRegressor',
                 TheilSenRegressor(copy_X=True, fit_intercept=True,
                                   max_iter=300, max_subpopulation=10000,
                                   n_jobs=None, n_subsamples=None,
                                   random_state=None, tol=0.001,
                                   verbose=False))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 3, 'nmf__init': 'random', 'TheilSenRegressor__max_iter': 300, 'TheilSenRegressor__fit_intercept': True}
KNeighborsRegressor;54.840586464705325;6887.396292196653;0.4150783381866645;38.19999999999999;4201492;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('KNeighborsRegressor', KNeighborsRegressor(algorithm='auto', leaf_size=30, metric='minkowski',
                    metric_params=None, n_jobs=None, n_neighbors=5, p=2,
                    weights='uniform'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'KNeighborsRegressor__n_neighbors': [3, 5, 7, 9], 'KNeighborsRegressor__weights': ('uniform', 'distance'), 'KNeighborsRegressor__algorithm': ('auto', 'ball_tree', 'kd_tree', 'brute'), 'KNeighborsRegressor__p': [1, 2]};25;13;9;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=True)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='nndsvd',
                     l1_ratio=0.0, max_iter=200, n_components=5,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('KNeighborsRegressor',
                 KNeighborsRegressor(algorithm='auto', leaf_size=30,
                                     metric='minkowski', metric_params=None,
                                     n_jobs=None, n_neighbors=3, p=1,
                                     weights='uniform'))],
         verbose=False)";{'robust_scaler__with_scaling': True, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 5, 'nmf__init': 'nndsvd', 'KNeighborsRegressor__weights': 'uniform', 'KNeighborsRegressor__p': 1, 'KNeighborsRegressor__n_neighbors': 3, 'KNeighborsRegressor__algorithm': 'auto'}
ExtraTreeRegressor;64.59507719196039;9284.123376055928;0.06856846089026329;43.09999999999997;2004855;train_test_split 25%;robust_scaler;nmf;"[('robust_scaler', RobustScaler(copy=True, quantile_range=(25.0, 75.0), with_centering=True,
             with_scaling=True)), ('nmf', NMF(alpha=0.0, beta_loss='frobenius', init=None, l1_ratio=0.0, max_iter=200,
    n_components=None, random_state=None, shuffle=False, solver='cd',
    tol=0.0001, verbose=0)), ('ExtraTreeRegressor', ExtraTreeRegressor(ccp_alpha=0.0, criterion='mse', max_depth=None,
                   max_features='auto', max_leaf_nodes=None,
                   min_impurity_decrease=0.0, min_impurity_split=None,
                   min_samples_leaf=1, min_samples_split=2,
                   min_weight_fraction_leaf=0.0, random_state=None,
                   splitter='random'))]";{'robust_scaler__with_centering': [True, False], 'robust_scaler__with_scaling': [True, False], 'nmf__n_components': [None, 3, 5, 7, 9, 11, 13], 'nmf__init': ('random', 'nndsvd', 'nndsvda', 'nndsvdar'), 'nmf__solver': ('cd', 'mu'), 'ExtraTreeRegressor__criterion': ('mse', 'mae'), 'ExtraTreeRegressor__max_features': ('auto', 'sqrt', 'log2')};25;41;6;"Pipeline(memory=None,
         steps=[('robust_scaler',
                 RobustScaler(copy=True, quantile_range=(25.0, 75.0),
                              with_centering=False, with_scaling=False)),
                ('nmf',
                 NMF(alpha=0.0, beta_loss='frobenius', init='random',
                     l1_ratio=0.0, max_iter=200, n_components=5,
                     random_state=None, shuffle=False, solver='cd', tol=0.0001,
                     verbose=0)),
                ('ExtraTreeRegressor',
                 ExtraTreeRegressor(ccp_alpha=0.0, criterion='mse',
                                    max_depth=None, max_features='sqrt',
                                    max_leaf_nodes=None,
                                    min_impurity_decrease=0.0,
                                    min_impurity_split=None, min_samples_leaf=1,
                                    min_samples_split=2,
                                    min_weight_fraction_leaf=0.0,
                                    random_state=None, splitter='random'))],
         verbose=False)";{'robust_scaler__with_scaling': False, 'robust_scaler__with_centering': False, 'nmf__solver': 'cd', 'nmf__n_components': 5, 'nmf__init': 'random', 'ExtraTreeRegressor__max_features': 'sqrt', 'ExtraTreeRegressor__criterion': 'mse'}
RandomForestRegressor;45.284136323914936;4483.494711745478;0.054886271182809664;31.726666666666695;1047314;train_test_split 25%;standard_scaler;FastICA;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('FastICA', FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.0001, w_init=None,
        whiten=True)), ('RandomForestRegressor', RandomForestRegressor(bootstrap=True, ccp_alpha=0.0, criterion='mse',
                      max_depth=None, max_features='auto', max_leaf_nodes=None,
                      max_samples=None, min_impurity_decrease=0.0,
                      min_impurity_split=None, min_samples_leaf=1,
                      min_samples_split=2, min_weight_fraction_leaf=0.0,
                      n_estimators=100, n_jobs=None, oob_score=False,
                      random_state=None, verbose=0, warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'FastICA__n_components': [None, 3, 5, 7, 9, 11, 13], 'FastICA__algorithm': ('parallel', 'deflation'), 'FastICA__whiten': [True, False], 'RandomForestRegressor__n_estimators': [5, 10, 15], 'RandomForestRegressor__criterion': ('mse', 'mae'), 'RandomForestRegressor__max_features': ('auto', 'sqrt', 'log2'), 'RandomForestRegressor__bootstrap': [True, False], 'RandomForestRegressor__warm_start': [True, False]};42;20;4;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=False)),
                ('FastICA',
                 FastICA(algorithm='deflation', fun='logcosh', fun_args=None,
                         max_iter=200, n_components=None, random_state=None,
                         tol=0.0001, w_init=None, whiten=False)),
                ('RandomForestRegressor',
                 RandomForestRegressor(bootstrap=True, ccp_alpha=0.0,
                                       criterion='mse', max_depth=None,
                                       max_features='sqrt', max_leaf_nodes=None,
                                       max_samples=None,
                                       min_impurity_decrease=0.0,
                                       min_impurity_split=None,
                                       min_samples_leaf=1, min_samples_split=2,
                                       min_weight_fraction_leaf=0.0,
                                       n_estimators=15, n_jobs=None,
                                       oob_score=False, random_state=None,
                                       verbose=0, warm_start=False))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': False, 'RandomForestRegressor__warm_start': False, 'RandomForestRegressor__n_estimators': 15, 'RandomForestRegressor__max_features': 'sqrt', 'RandomForestRegressor__criterion': 'mse', 'RandomForestRegressor__bootstrap': True, 'FastICA__whiten': False, 'FastICA__n_components': None, 'FastICA__algorithm': 'deflation'}
ExtraTreesRegressor;47.30535003398388;4996.5516758002395;0.03548798358278595;32.54666666666668;6002511;train_test_split 25%;standard_scaler;FastICA;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('FastICA', FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.0001, w_init=None,
        whiten=True)), ('ExtraTreesRegressor', ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0, criterion='mse',
                    max_depth=None, max_features='auto', max_leaf_nodes=None,
                    max_samples=None, min_impurity_decrease=0.0,
                    min_impurity_split=None, min_samples_leaf=1,
                    min_samples_split=2, min_weight_fraction_leaf=0.0,
                    n_estimators=100, n_jobs=None, oob_score=False,
                    random_state=None, verbose=0, warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'FastICA__n_components': [None, 3, 5, 7, 9, 11, 13], 'FastICA__algorithm': ('parallel', 'deflation'), 'FastICA__whiten': [True, False], 'ExtraTreesRegressor__n_estimators': [5, 10, 15], 'ExtraTreesRegressor__criterion': ('mse', 'mae'), 'ExtraTreesRegressor__max_features': ('auto', 'sqrt', 'log2'), 'ExtraTreesRegressor__bootstrap': [True, False], 'ExtraTreesRegressor__warm_start': [True, False]};42;8;3;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=False)),
                ('FastICA',
                 FastICA(algorithm='deflation', fun='logcosh', fun_args=None,
                         max_iter=200, n_components=3, random_state=None,
                         tol=0.0001, w_init=None, whiten=True)),
                ('ExtraTreesRegressor',
                 ExtraTreesRegressor(bootstrap=False, ccp_alpha=0.0,
                                     criterion='mse', max_depth=None,
                                     max_features='auto', max_leaf_nodes=None,
                                     max_samples=None,
                                     min_impurity_decrease=0.0,
                                     min_impurity_split=None,
                                     min_samples_leaf=1, min_samples_split=2,
                                     min_weight_fraction_leaf=0.0,
                                     n_estimators=15, n_jobs=None,
                                     oob_score=False, random_state=None,
                                     verbose=0, warm_start=True))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': False, 'FastICA__whiten': True, 'FastICA__n_components': 3, 'FastICA__algorithm': 'deflation', 'ExtraTreesRegressor__warm_start': True, 'ExtraTreesRegressor__n_estimators': 15, 'ExtraTreesRegressor__max_features': 'auto', 'ExtraTreesRegressor__criterion': 'mse', 'ExtraTreesRegressor__bootstrap': False}
BaggingRegressor;46.538188173609115;4751.72761132796;0.04102868767306008;33.0866666666667;9664896;train_test_split 25%;standard_scaler;FastICA;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('FastICA', FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.0001, w_init=None,
        whiten=True)), ('BaggingRegressor', BaggingRegressor(base_estimator=None, bootstrap=True, bootstrap_features=False,
                 max_features=1.0, max_samples=1.0, n_estimators=10,
                 n_jobs=None, oob_score=False, random_state=None, verbose=0,
                 warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'FastICA__n_components': [None, 3, 5, 7, 9, 11, 13], 'FastICA__algorithm': ('parallel', 'deflation'), 'FastICA__whiten': [True, False], 'BaggingRegressor__n_estimators': [5, 10, 15], 'BaggingRegressor__bootstrap': [True, False], 'BaggingRegressor__warm_start': [True, False]};42;8;5;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=False)),
                ('FastICA',
                 FastICA(algorithm='parallel', fun='logcosh', fun_args=None,
                         max_iter=200, n_components=None, random_state=None,
                         tol=0.0001, w_init=None, whiten=True)),
                ('BaggingRegressor',
                 BaggingRegressor(base_estimator=None, bootstrap=True,
                                  bootstrap_features=False, max_features=1.0,
                                  max_samples=1.0, n_estimators=15, n_jobs=None,
                                  oob_score=False, random_state=None, verbose=0,
                                  warm_start=True))],
         verbose=False)";{'standard_scaler__with_std': False, 'standard_scaler__with_mean': False, 'FastICA__whiten': True, 'FastICA__n_components': None, 'FastICA__algorithm': 'parallel', 'BaggingRegressor__warm_start': True, 'BaggingRegressor__n_estimators': 15, 'BaggingRegressor__bootstrap': True}
AdaBoostRegressor;76.48645999713615;7615.686980225521;5.502599749108128;84.99623059866974;8712373;train_test_split 25%;standard_scaler;FastICA;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('FastICA', FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.0001, w_init=None,
        whiten=True)), ('AdaBoostRegressor', AdaBoostRegressor(base_estimator=None, learning_rate=1.0, loss='linear',
                  n_estimators=50, random_state=None))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'FastICA__n_components': [None, 3, 5, 7, 9, 11, 13], 'FastICA__algorithm': ('parallel', 'deflation'), 'FastICA__whiten': [True, False], 'AdaBoostRegressor__loss': ('linear', 'square', 'exponential'), 'AdaBoostRegressor__n_estimators': [25, 50, 75]};42;31;6;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=True)),
                ('FastICA',
                 FastICA(algorithm='deflation', fun='logcosh', fun_args=None,
                         max_iter=200, n_components=13, random_state=None,
                         tol=0.0001, w_init=None, whiten=False)),
                ('AdaBoostRegressor',
                 AdaBoostRegressor(base_estimator=None, learning_rate=1.0,
                                   loss='exponential', n_estimators=50,
                                   random_state=None))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': False, 'FastICA__whiten': False, 'FastICA__n_components': 13, 'FastICA__algorithm': 'deflation', 'AdaBoostRegressor__n_estimators': 50, 'AdaBoostRegressor__loss': 'exponential'}
PassiveAggressiveRegressor;50.929497358441076;5237.522181080561;1.6768466805069433;34.805901598661706;6899319;train_test_split 25%;standard_scaler;FastICA;"[('standard_scaler', StandardScaler(copy=True, with_mean=True, with_std=True)), ('FastICA', FastICA(algorithm='parallel', fun='logcosh', fun_args=None, max_iter=200,
        n_components=None, random_state=None, tol=0.0001, w_init=None,
        whiten=True)), ('PassiveAggressiveRegressor', PassiveAggressiveRegressor(C=1.0, average=False, early_stopping=False,
                           epsilon=0.1, fit_intercept=True,
                           loss='epsilon_insensitive', max_iter=1000,
                           n_iter_no_change=5, random_state=None, shuffle=True,
                           tol=0.001, validation_fraction=0.1, verbose=0,
                           warm_start=False))]";{'standard_scaler__with_mean': [True, False], 'standard_scaler__with_std': [True, False], 'FastICA__n_components': [None, 3, 5, 7, 9, 11, 13], 'FastICA__algorithm': ('parallel', 'deflation'), 'FastICA__whiten': [True, False], 'PassiveAggressiveRegressor__max_iter': [500, 1000, 1500], 'PassiveAggressiveRegressor__fit_intercept': [True, False], 'PassiveAggressiveRegressor__early_stopping': [True, False], 'PassiveAggressiveRegressor__shuffle': [True, False], 'PassiveAggressiveRegressor__warm_start': [True, False]};42;13;8;"Pipeline(memory=None,
         steps=[('standard_scaler',
                 StandardScaler(copy=True, with_mean=False, with_std=True)),
                ('FastICA',
                 FastICA(algorithm='deflation', fun='logcosh', fun_args=None,
                         max_iter=200, n_components=None, random_state=None,
                         tol=0.0001, w_init=None, whiten=True)),
                ('PassiveAggressiveRegressor',
                 PassiveAggressiveRegressor(C=1.0, average=False,
                                            early_stopping=False, epsilon=0.1,
                                            fit_intercept=True,
                                            loss='epsilon_insensitive',
                                            max_iter=500, n_iter_no_change=5,
                                            random_state=None, shuffle=True,
                                            tol=0.001, validation_fraction=0.1,
                                            verbose=0, warm_start=False))],
         verbose=False)";{'standard_scaler__with_std': True, 'standard_scaler__with_mean': False, 'PassiveAggressiveRegressor__warm_start': False, 'PassiveAggressiveRegressor__shuffle': True, 'PassiveAggressiveRegressor__max_iter': 500, 'PassiveAggressiveRegressor__fit_intercept': True, 'PassiveAggressiveRegressor__early_stopping': False, 'FastICA__whiten': True, 'FastICA__n_components': None, 'FastICA__algorithm': 'deflation'}
